sample_index,dataset,model,draft_model,temperature,block_size,method,tree_budget,num_input_tokens,num_output_tokens,time_to_first_token_ms,time_per_output_token_ms,tokens_per_second,total_decode_time_seconds,decode_rounds,mean_acceptance_length,speedup_vs_baseline,matches_baseline,stage_commit_seconds,stage_draft_seconds,stage_verify_seconds
5,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,94,347,38.58425399994303,36.96234388472563,27.054561342719435,12.825933327999794,346,1,1.0,True,0.08641189200534427,0.0,12.680297944993981
5,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,94,387,37.917506999747275,13.171054881137302,75.92406295657706,5.097198239000136,93,4.150537634408602,2.8063313241265595,False,0.057149804999426124,1.1897774270019,3.8391829589991175
6,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,70,243,39.005043000088335,36.91989476543133,27.085667669245783,8.971534427999813,242,1,1.0,True,0.06035053200275797,0.0,8.869725306002692
6,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,70,243,38.73874600003546,11.694532378599288,85.51004585954851,2.841771367999627,52,4.653846153846154,3.157021894521738,True,0.03141377599831685,0.6596530590004477,2.144450010000128
7,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,81,231,38.494901999911235,36.942348714284996,27.06920471500277,8.533682552999835,230,1,1.0,True,0.057379740002943436,0.0,8.43679624599963
7,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,81,231,38.3445180000308,11.841657073593478,84.44764054432623,2.735422784000093,50,4.6,3.119694185087092,True,0.02980627200076924,0.6337660189988128,2.065966646000561
8,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,64,344,38.43762999986211,36.98160443313956,27.040470940300544,12.721671925000008,343,1,1.0,True,0.08529669899598957,0.0,12.57747784400135
8,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,64,344,37.73264199980986,11.040825534883234,90.57293739861417,3.7980439839998326,69,4.971014492753623,3.349532543223062,True,0.04006505799770821,0.8855984360002367,2.8640345520016126
9,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,103,357,37.96669800021846,37.15420020168039,26.914857393559846,13.264049471999897,356,1,1.0,True,0.08957691799696477,0.0,13.112850295998214
9,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,103,357,38.0395669999416,11.186813131653075,89.39096311267605,3.9936922880001475,73,4.876712328767123,3.3212497397093923,True,0.04288697700258126,0.9287671729989597,3.0132308649999686
10,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,72,166,38.46177700006592,36.913348650603396,27.09047096933195,6.1276158760001636,165,1,1.0,True,0.04197900400185972,0.0,6.056914556995707
10,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,72,167,38.31216400021731,14.722910862275455,67.92135124327228,2.458726114000001,45,3.688888888888889,2.5072045192630044,False,0.02873074600211112,0.5676567810000961,1.8569577759990352
11,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,75,377,38.99550000005547,37.22906467108703,26.860733914076103,14.03535738099981,376,1,1.0,True,0.09452780900437574,0.0,13.87607191799907
11,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,75,374,38.36829400006536,9.003045133689456,111.0735295836731,3.3671388799998567,61,6.114754098360656,4.135163616116465,False,0.033943684999030665,0.7796132259995829,2.5462535079982445
12,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,130,373,45.94431000032273,37.03284160589839,27.00305881579245,13.8132499190001,372,1,1.0,True,0.09323526800517357,0.0,13.655715242999577
12,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,130,373,37.69433900015429,10.473922356568899,95.47521606104259,3.9067730390001993,71,5.23943661971831,3.535718553677516,True,0.040494877000583074,0.9151845560004404,2.9425264539977434
13,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,123,352,38.092757999947935,37.162005417613386,26.90920440816786,13.081025906999912,351,1,1.0,True,0.08814886199388638,0.0,12.932737639998777
13,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,123,355,37.97816500036788,11.328570135211379,88.27239343223088,4.02164239800004,73,4.8493150684931505,3.2803791629542647,False,0.043540820997804985,0.9362289159998909,3.033000722997258
14,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,123,354,38.65142199992988,37.26599289830582,26.834116636282136,13.19216148600026,353,1,1.0,True,0.08908759300629754,0.0,13.042140463002852
14,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,123,351,38.59769100017729,11.097178247863203,90.11299788687752,3.8951095649999843,71,4.929577464788732,3.3581503392974246,False,0.042230164997818065,0.9088262830027816,2.9354758499989657
15,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,93,331,38.86692800006131,37.199754755288254,26.88189765170002,12.313118824000414,330,1,1.0,True,0.08285872400210792,0.0,12.173511181001686
15,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,93,331,38.528878999841254,12.189096329304965,82.04053631078499,4.034590884999943,74,4.45945945945946,3.0518878307535227,True,0.04450768100150526,0.940844565001953,3.040328334000151
16,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,102,251,38.89444900005401,36.82157929482044,27.157987765632488,9.24221640299993,250,1,1.0,True,0.062470398003370065,0.0,9.136455689002105
16,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,102,251,38.09186899979977,10.016494438247149,99.83532723600219,2.5141401040000346,46,5.434782608695652,3.676094418244801,True,0.02708506100179875,0.5829313569997794,1.8986079390001578
17,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,96,179,37.85764200029007,36.76147820111794,27.202388177349988,6.580304598000112,178,1,1.0,True,0.04467739999427067,0.0,6.505244737004887
17,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,96,178,37.85496199998306,13.218063140449088,75.65404926383373,2.3528152389999377,43,4.116279069767442,2.7811546828387264,False,0.02613741299865069,0.5438376869979038,1.777726277000511
18,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,100,262,38.56634200019471,36.91436193129732,27.089727349510653,9.6715628259999,261,1,1.0,True,0.06503702900317876,0.0,9.561765957001171
18,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,100,263,37.931046999801765,12.245478870723334,81.66279249322085,3.220560943000237,59,4.440677966101695,3.0145298784151846,False,0.034885761998793896,0.7479879070006064,2.430560627001796
19,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,53,118,38.93739000022833,36.62650103389859,27.302635298809438,4.321927122000034,117,1,1.0,True,0.029195947000516753,0.0,4.272632008002802
19,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,53,118,38.70443499999965,12.103298042374865,82.62210816414661,1.428189169000234,26,4.5,3.026158730096997,True,0.01595234900014475,0.32639835499912806,1.08273718800001
20,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,161,354,38.44306700011657,37.065381265536594,26.979352858560784,13.121144967999955,353,1,1.0,True,0.08832468799892013,0.0,12.9721727690021
20,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,161,352,38.310526000259415,11.230468196023418,89.04348265320662,3.953124805000243,72,4.875,3.3004306337522977,False,0.04261524399817063,0.9217127590009113,2.9801106130003063
21,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,74,209,38.45004799995877,36.74890158851829,27.21169767731063,7.680520432000321,208,1,1.0,True,0.05166942399864638,0.0,7.593163921998439
21,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,74,193,38.81554800000231,11.948206709843399,83.69456808745709,2.306003894999776,42,4.571428571428571,3.0756834461395033,False,0.024770896000518405,0.533159801999318,1.7430625279994274
22,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,81,229,38.53047099983087,36.953736580785495,27.060862920150843,8.462405676999879,228,1,1.0,True,0.05706314601002305,0.0,8.366260793003676
22,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,81,229,38.899548999779654,13.387174550219017,74.69836120002184,3.0656629720001547,56,4.071428571428571,2.7603835628019753,True,0.03408285600198724,0.7126931170000717,2.3122310670014485
23,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,55,210,38.619233000190434,36.95816272381004,27.05762208671041,7.761214172000109,209,1,1.0,True,0.0519684810005856,0.0,7.673166033997859
23,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,55,210,38.43950800001039,9.375214599999925,106.66422505144662,1.9687950659999842,36,5.805555555555555,3.9421137862604594,True,0.019824341999537864,0.4536883229993691,1.4909812299988516
24,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,149,332,38.77108699998644,37.14915503313198,26.918512658178535,12.333519470999818,331,1,1.0,True,0.08269945500342146,0.0,12.193746701004784
24,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,149,332,38.70894400006364,9.916628837349451,100.84072081367555,3.292320774000018,60,5.516666666666667,3.7461475711600114,True,0.034101085999736824,0.7658020939970811,2.4850663019965396
25,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,90,357,39.07061400013845,37.05718823249256,26.985317766855772,13.229416198999843,356,1,1.0,True,0.08917714800145404,0.0,13.079397880997021
25,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,90,357,38.43249800002013,10.926632787114748,91.5195028041257,3.900807904999965,71,5.014084507042254,3.3914554423566163,True,0.04126290300064284,0.908057147999898,2.9429794000002403
26,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,75,151,38.84542900004817,37.00154036423796,27.025901899113947,5.587232594999932,150,1,1.0,True,0.03752666899890755,0.0,5.523689954999554
26,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,75,151,38.80399700028647,12.674435364236626,78.89897823943257,1.9138397399997302,35,4.285714285714286,2.9193837280234964,True,0.021317974001703988,0.4410623310000119,1.4472874650004997
27,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,68,285,38.936932000069646,36.87062920000021,27.121858826320068,10.508129322000059,284,1,1.0,True,0.07095883000101821,0.0,10.3888203839997
27,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,68,285,38.24902399992425,10.290506368421534,97.17694778059698,2.9327943150001374,54,5.2592592592592595,3.582975208406174,True,0.030475202999696194,0.6822903739998765,2.2135500839981432
28,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,124,422,38.06346000010308,37.08488684360181,26.965162499141567,15.649822247999964,421,1,1.0,True,0.10534827599713026,0.0,15.472400147007193
28,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,124,422,37.901362999946286,12.388689199052045,80.71878985199804,5.228026841999963,95,4.431578947368421,2.9934471878138216,True,0.056869990999075526,1.222985170996708,3.9366552010014857
29,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,113,277,38.67581100030293,37.05617051624549,26.986058895686433,10.264559233,276,1,1.0,True,0.06958429300038915,0.0,10.147546413997134
29,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,113,277,38.54815000022427,10.895942826715286,91.77728039726343,3.0181761630001347,55,5.0181818181818185,3.400914551918268,True,0.03182092799988823,0.7019486359999974,2.2777761480019763
30,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,140,567,38.18273900014901,37.131840809523915,26.931064504173758,21.053753739000058,566,1,1.0,True,0.14178189099675365,0.0,20.814840804003325
30,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,140,483,38.18972899989603,11.031657840579422,90.64820668399886,5.328290736999861,97,4.969072164948454,3.365934780259067,False,0.05875479199858091,1.2481566299989026,4.009699132996047
31,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,66,229,38.51324700008263,36.87541654148428,27.11833773796197,8.4444703879999,228,1,1.0,True,0.05667199699746561,0.0,8.348542253998403
31,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,66,229,38.222180000047956,9.524457803493585,104.99285320296119,2.181100837000031,40,5.7,3.871655195738105,True,0.021601228999315936,0.5030873729997438,1.6516874469989489
